price,pop_mean_ltv,pop_std_ltv,pop_risk_adj_ltv,avg_E_months,avg_hazard_mean,avg_S6,n_profiles
10.0,26.401406732180202,6.5051418270609656,24.77512127541496,7.9374146988468395,0.5255256980478571,0.5372893893571729,200
15.0,51.53819461637782,13.212815483395584,48.234990745528926,6.957477005462669,0.5637889099163124,0.462791742380142,200
20.0,72.02065905509282,18.969391359652647,67.27831121517966,6.2522307763280764,0.5937603632570898,0.40250295979146655,200
25.0,89.18471179512899,23.954687387456673,83.19603994826483,5.697448511061545,0.6190749077298505,0.3512525111694444,200
30.0,103.76517062695021,28.27593249930616,96.69618750212366,5.239032205663457,0.6413573637830384,0.3066223167003314,200
35.0,116.24069384627141,32.00820625866766,108.2386422816045,4.8484922646282484,0.6614742061323724,0.26727588231600036,200
40.0,126.95639698371232,35.209695078834415,118.15397321400371,4.508918101610879,0.6799410136908017,0.2323828681338609,200
45.0,136.17804611743028,37.9286457518156,126.69588467947638,4.2093975204519065,0.6970884975959154,0.20137586820427827,200
50.0,144.11962609842732,40.20693197220575,134.06789310537587,3.9424368021231664,0.7131407454602635,0.17383348477098554,200
55.0,150.95884003167967,42.082033731301415,140.43833159885432,3.7026341143185477,0.7282561080366111,0.1494191654119291,200
60.0,156.84651147503257,43.58819709487204,145.94946220131456,3.485940735964632,0.7425502913705714,0.12784745447933185,200
65.0,161.91264504340563,44.75713981588706,150.72336008943387,3.28922321756124,0.756110217508799,0.10886484350027717,200
70.0,166.27053570727105,45.61849203481046,154.86591269856842,3.109990586547998,0.7690027628590927,0.09223886923591408,200
75.0,170.01967903904705,46.20007675442471,158.46965985044088,2.946217246784729,0.7812804946542892,0.07775206595773029,200
80.0,173.24791298527595,46.5280911239695,161.61589020428357,2.7962239688424755,0.792985566330497,0.06519884079239635,200
85.0,176.03304922473018,46.62722563943081,164.37624281487248,2.658595530008066,0.8041524392265563,0.05438411317778362,200
90.0,178.44415478391625,46.520744568820184,166.8139686417112,2.5321222479504857,0.814809830565896,0.04512299197920767,200
95.0,180.5425871838691,46.2305426017986,168.98495153341946,2.4157575380246814,0.8249821360897656,0.03724101976271356,200
100.0,182.3828513052036,45.77718752829461,170.93855442312994,2.308586483484162,0.8346904864338892,0.03057467344485053,200
105.0,184.01332403193513,45.17995539777113,172.71833518249235,2.209802139482465,0.8439535419939798,0.024971915480964352,200
110.0,185.47687840632335,44.45686238783356,174.36266280936496,2.118687372459835,0.852788096974753,0.020292662107882168,200
115.0,186.81142953741434,43.62469610515347,175.90525551112597,2.03460072920729,0.8612095414360778,0.016409087135309405,200
120.0,188.05041810083378,42.69904800556761,177.37565609944187,1.9569652845542196,0.8692322157713143,0.013205718228002695,200
125.0,189.22324287553417,41.69434790039935,178.79965590043435,1.8852597214518443,0.8768696824138754,0.010579311419784208,200
130.0,190.3556507127815,40.6239010147172,180.19967545910222,1.8190111055435616,0.8841349329884125,0.008438510987928836,200
135.0,191.4700901920023,39.499927716120176,181.59510826297225,1.7577889611557982,0.8910405445558144,0.006703317139029912,200
140.0,192.58603370371483,38.33360579626676,183.00263225464815,1.701200357933675,0.897598795379643,0.005304394115074884,200
145.0,193.72027162176747,37.13511503153216,184.43649286388444,1.6488857906117804,0.903821748332627,0.0041822570344491345,200
150.0,194.88718145608564,35.913683652353946,185.90876054299716,1.6005156875613085,0.9097213083792093,0.0032863777062673723,200
155.0,196.09897432349644,34.67763629728505,187.42956524917517,1.5557874227608108,0.9153092593218366,0.002574248486900015,200
160.0,197.36592067512046,33.43444300584038,189.00730992366036,1.5144227347631227,0.9205972840542246,0.0020104397044509465,200
165.0,198.69655692973822,32.19076880508099,190.64886472846797,1.4761654778835902,0.9255969718346984,0.0015656809883681936,200
170.0,200.09787445160038,30.952523461828708,192.3597435861432,1.4407796471812033,0.9303198155149939,0.0012159907057057676,200
175.0,201.5754921554502,29.724911000322617,194.14426440536954,1.4080476312397012,0.9347772011917089,0.0009418712504368989,200
180.0,203.1338139045587,28.51247862011277,196.0056942495305,1.377768656281625,0.9389803923591333,0.0007275816804571786,200
185.0,204.77617177744247,27.319164688077535,197.9463806054231,1.349757392491401,0.9429405103128878,0.0005604935450304149,200
190.0,206.50495620710143,26.14834551943237,199.96786982724333,1.3238426991167773,0.9466685122695461,0.00043053095672866226,200
195.0,208.32173393701544,25.002880703835572,202.07101376105655,1.2998664893556586,0.9501751684186033,0.0003296921730331079,200
200.0,210.2273546864972,23.885156773013126,204.2560654932439,1.2776826995120434,0.9534710389033808,0.00025164719058570257,200
205.0,212.22204737138884,22.797129044895943,206.52276511016484,1.2571563496418334,0.9565664515324306,0.00019140406016610024,200
210.0,214.3055066825349,21.740361515534758,208.8704163036512,1.2381626850745682,0.9594714808499464,0.00014503568299910582,200
215.0,216.4769707827129,20.716064703681983,211.2979546067924,1.2205863899186113,0.9621959290406582,0.00010945859405069036,200
220.0,218.73529084199674,19.72513138370901,213.8040079960695,1.2043208650330073,0.9647493090104011,8.225550770548519e-05,200
225.0,221.0789930914702,18.768170170372535,216.38695054887708,1.1892675640546813,0.967140829866874,6.153403259076892e-05,200
230.0,223.50633403564615,17.845536943849208,219.04494979968385,1.1753353819633137,0.9693793849251608,4.5814809731321286e-05,200
235.0,226.01534942488243,16.957364125467656,221.77600839351553,1.16244009139335,0.9714735422783565,3.3943271240853376e-05,200
240.0,228.60389755062874,16.10358783377186,224.5780005921858,1.1505038224985193,0.9734315379041442,2.502016335086711e-05,200
