price,margin,E_months,LTV,hazard_mean,S_end
20.0,12.0,1.5953459029753991,19.038074428507073,0.9078562773845674,4.902771811067978e-69
22.0,13.7,1.5578887836243123,21.231870318814945,0.9127131234636341,2.4148391423604622e-70
24.0,15.399999999999999,1.5244581626120908,23.361300802581322,0.9171308307235707,1.3721169633809302e-71
26.0,17.099999999999998,1.4943551695881896,25.43478129317784,0.921178558834315,8.792291144648268e-73
28.0,18.8,1.4670473651622544,27.459141467819162,0.924909811134258,6.242251511246118e-74
30.0,20.5,1.4421200638820324,29.44003148090695,0.9283668559820085,4.841772099488812e-75
32.0,22.2,1.4192441401911002,31.38220110156738,0.9315836926746597,4.0565704053370606e-76
34.0,23.9,1.3981540739005622,33.289697386858215,0.9345881003003317,3.637167130717615e-77
36.0,25.599999999999998,1.3786325780313369,35.16600834494348,0.9374030893553712,3.4630870340704166e-78
38.0,27.299999999999997,1.3604995851167558,37.014169734091645,0.940047953150906,3.4789363421299776e-79
40.0,29.0,1.3436041949833797,38.83684605317437,0.9425390442625728,3.667161940162317e-80
42.0,30.699999999999996,1.3278186811651473,40.636393054625294,0.944890357876806,4.0371881757509276e-81
44.0,32.4,1.3130339576133712,42.414906762577694,0.9471139768442978,4.623181770030705e-82
46.0,34.1,1.2991561002005467,44.1742624581365,0.9492204159478587,5.487781450899132e-83
48.0,35.8,1.2861036426387695,45.91614608498613,0.9512188915550666,6.731640048205195e-84
50.0,37.5,1.2738054494124305,47.642079844866686,0.9531175352388607,8.510395357909783e-85
52.0,39.199999999999996,1.2621990244504742,49.35344328002279,0.9549235647730132,1.1062588021717535e-85
54.0,40.9,1.2512291529115231,51.051490807475126,0.9566434223159715,1.4754739969205882e-86
56.0,42.6,1.2408468005059878,52.73736643250878,0.958282887061949,2.0154095066875003e-87
58.0,44.3,1.2310082139981235,54.41211619655792,0.959847167824166,2.814664292124591e-88
60.0,46.0,1.2216741803742774,56.0766987880665,0.9613409796994077,4.013008386468253e-89
62.0,47.699999999999996,1.2128094122621407,57.73199465067169,0.9627686079968747,5.833196287594039e-90
64.0,49.4,1.20438203463956,59.378813852102645,0.9641339618966459,8.63386418634851e-91
66.0,51.1,1.1963631534333388,61.01790292318417,0.9654406197643267,1.2998229895038787e-91
68.0,52.8,1.1887264908009425,62.64995083482435,0.966691867640011,1.9884068026508307e-92
70.0,54.5,1.1814480750783183,64.27559424865615,0.96789073210717,3.0879358957593436e-93
72.0,56.199999999999996,1.1745059758263026,65.8954221517947,0.9690400085058809,4.864154053606028e-94
74.0,57.9,1.167880076304123,67.50997996628067,0.9701422852671574,7.76580818556656e-95
76.0,59.599999999999994,1.161551877177754,69.1197732079619,0.9711999649980293,1.2557339093638901e-95
78.0,61.3,1.1555043264334548,70.7252707568974,0.9722152828308691,2.0552079484337e-96
80.0,63.0,1.1497216713868943,72.32690779115096,0.9731903224581332,3.4025023789149123e-97
82.0,64.7,1.144189329411154,73.92508842754911,0.9741270301998334,5.6948536093601274e-98
84.0,66.39999999999999,1.1388937745943393,75.5201881062071,0.9750272273916111,9.631253375644313e-99
86.0,68.1,1.1338224380111486,77.11255575006389,0.9758926213331917,1.6450907560894101e-99
88.0,69.8,1.1289636196767296,78.70251572607322,0.9767248149978447,2.8366710380092295e-100
90.0,71.5,1.1243064105640914,80.29036963088394,0.9775253156714636,4.935812271339659e-101
92.0,73.2,1.1198406233227314,81.8763979206598,0.9782955426635711,8.663021510063443e-102
94.0,74.89999999999999,1.115556730547103,83.46086140202043,0.9790368342108207,1.53314357955314e-102
96.0,76.6,1.1114458096180588,85.04400259883758,0.9797504536755551,2.7349576331380666e-103
98.0,78.3,1.1074994932852755,86.62604700771995,0.9804375951269684,4.9162462226736785e-104
100.0,80.0,1.1037099252795135,88.20720425340319,0.9810993883798749,8.902281016947054e-105
102.0,81.7,1.1000697203447496,89.78766915388644,0.9817369035555484,1.623419812411845e-105
104.0,83.39999999999999,1.096571928165248,91.3676227039743,0.9823511552202261,2.980620416772372e-106
106.0,85.1,1.0932100007343883,92.94723298487227,0.9829431061493571,5.508328803060055e-107
108.0,86.8,1.0899777627727976,94.52665600660713,0.9835136707593207,1.0243953680804804e-107
110.0,88.5,1.086869384854935,96.10603648928864,0.9840637182429074,1.9166941700298765e-108
112.0,90.2,1.0838793589472346,97.68550858857147,0.9845940754402385,3.6073117656788825e-109
114.0,91.89999999999999,1.081002476098514,99.26519657010375,0.9851055294728317,6.827681386369755e-110
116.0,93.6,1.0782338060555758,100.84521543724941,0.985598830165114,1.299388891597342e-110
118.0,95.3,1.0755686786046614,102.42567151593228,0.9860746922747605,2.4860121526862177e-111
120.0,97.0,1.0730026664633199,104.00666300006644,0.9865337975506945,4.780698413996517e-112
