decile,n,avg_pred,actual_rate
0,45,0.534177472948142,0.2
1,45,0.5990139959054512,0.15555555555555556
2,45,0.6285965986503426,0.2
3,45,0.6479389337792776,0.28888888888888886
4,45,0.6583702943819633,0.24444444444444444
5,44,0.6720898904988024,0.25
6,45,0.6840775405839108,0.2222222222222222
7,45,0.6980747188449997,0.26666666666666666
8,45,0.7160275596141411,0.24444444444444444
9,45,0.7487720464296957,0.2
