price,margin,E_months,mean_ltv,std_ltv,risk_adj_ltv,hazard_mean
20.0,12.0,1.5953459029753991,19.038074428507073,10.81375971059324,16.334634500858762,0.9078562773845674
22.0,13.7,1.5578887836243123,21.23187031881495,11.856651194796159,18.26770752011591,0.9127131234636341
24.0,15.399999999999999,1.5244581626120908,23.361300802581326,12.828611358571916,20.154147962938346,0.9171308307235707
26.0,17.099999999999998,1.4943551695881896,25.43478129317784,13.737031729981956,22.00052336068235,0.921178558834315
28.0,18.8,1.4670473651622544,27.459141467819165,14.587979034486093,23.81214670919764,0.924909811134258
30.0,20.5,1.4421200638820324,29.440031480906946,15.386526565109902,25.59339983962947,0.9283668559820085
32.0,22.2,1.4192441401911002,31.382201101567382,16.136983927294953,27.347955119743645,0.9315836926746597
34.0,23.9,1.3981540739005622,33.289697386858215,16.843061036828228,29.078932127651157,0.9345881003003317
36.0,25.599999999999998,1.3786325780313369,35.166008344943485,17.507988164129507,30.78901130391111,0.9374030893553712
38.0,27.299999999999997,1.3604995851167558,37.01416973409164,18.134605749252373,32.48051829677854,0.940047953150906
40.0,29.0,1.3436041949833797,38.83684605317437,18.725432905240673,34.1554878268642,0.9425390442625728
42.0,30.699999999999996,1.3278186811651473,40.6363930546253,19.2827205651478,35.81571291333835,0.944890357876806
44.0,32.4,1.3130339576133712,42.41490676257771,19.808493347124724,37.46278342579653,0.9471139768442978
46.0,34.1,1.2991561002005467,44.174262458136496,20.304582985800586,39.09811671168635,0.9492204159478587
48.0,35.8,1.2861036426387695,45.91614608498613,20.77265535979441,40.72298224503753,0.9512188915550666
50.0,37.5,1.2738054494124305,47.642079844866686,21.21423258733384,42.338521698033226,0.9531175352388607
52.0,39.199999999999996,1.2621990244504742,49.35344328002279,21.63071127437071,43.94576546143011,0.9549235647730132
54.0,40.9,1.2512291529115231,51.051490807475126,22.023377725603968,45.54564637607413,0.9566434223159715
56.0,42.6,1.2408468005059878,52.737366432508786,22.393420732073494,47.13901124949041,0.958282887061949
58.0,44.3,1.2310082139981235,54.412116196557925,22.741942405649723,48.726630595145494,0.959847167824166
60.0,46.0,1.2216741803742774,56.07669878806651,23.069967424920534,50.30920693183637,0.9613409796994077
62.0,47.699999999999996,1.2128094122621407,57.73199465067171,23.378450977890036,51.8873819061992,0.9627686079968747
64.0,49.4,1.20438203463956,59.378813852102645,23.668285627124693,53.46174244532147,0.9641339618966459
66.0,51.1,1.1963631534333388,61.017902923184174,23.94030727731871,55.0328261038545,0.9654406197643267
68.0,52.8,1.1887264908009425,62.64995083482435,24.195300390029004,56.601125737317105,0.966691867640011
70.0,54.5,1.1814480750783183,64.27559424865615,24.434002562909445,58.167093607928784,0.96789073210717
72.0,56.199999999999996,1.1745059758263026,65.8954221517947,24.657108569246894,59.73114500948298,0.9690400085058809
74.0,57.9,1.167880076304123,67.50997996628067,24.865273936561792,61.29366148214022,0.9701422852671574
76.0,59.599999999999994,1.161551877177754,69.11977320796188,25.059118129448336,62.8549936755998,0.9711999649980293
78.0,61.3,1.1555043264334548,70.72527075689742,25.239227390914923,64.41546390916868,0.9722152828308691
80.0,63.0,1.1497216713868943,72.32690779115097,25.406157287661003,65.97536846923572,0.9731903224581332
82.0,64.7,1.144189329411154,73.9250884275491,25.560434997545077,67.53497967816283,0.9741270301998334
84.0,66.39999999999999,1.1388937745943393,75.5201881062071,25.70256137161903,69.09454776330234,0.9750272273916111
86.0,68.1,1.1338224380111486,77.11255575006389,25.8330127982634,70.65430255049804,0.9758926213331917
88.0,69.8,1.1289636196767296,78.7025157260732,25.952242892950455,72.21445500283559,0.9767248149978447
90.0,71.5,1.1243064105640914,80.29036963088394,26.06068403382631,73.77519862242737,0.9775253156714636
92.0,73.2,1.1198406233227314,81.87639792065978,26.15874876051474,75.3367107305311,0.9782955426635711
94.0,74.89999999999999,1.115556730547103,83.46086140202043,26.246831051201095,76.89915363922016,0.9790368342108207
96.0,76.6,1.1114458096180588,85.0440025988376,26.32530749107641,78.4626757260685,0.9797504536755551
98.0,78.3,1.1074994932852755,86.62604700771995,26.394538343545527,80.02741242183356,0.9804375951269684
100.0,80.0,1.1037099252795135,88.2072042534032,26.45486853417417,81.59348711985966,0.9810993883798749
102.0,81.7,1.1000697203447496,89.78766915388644,26.506628556131265,83.16101201485363,0.9817369035555484
104.0,83.39999999999999,1.096571928165248,91.3676227039743,26.550135304835255,84.7300888777655,0.9823511552202261
106.0,85.1,1.0932100007343883,92.94723298487227,26.585692848612766,86.30080977271908,0.9829431061493571
108.0,86.8,1.0899777627727976,94.52665600660713,26.613593141398567,87.87325772125749,0.9835136707593207
110.0,88.5,1.086869384854935,96.10603648928861,26.634116682832015,89.4475073185806,0.9840637182429074
112.0,90.2,1.0838793589472346,97.68550858857147,26.647533130517044,91.0236253059422,0.9845940754402385
114.0,91.89999999999999,1.081002476098514,99.26519657010375,26.654101868701343,92.60167110292842,0.9851055294728317
116.0,93.6,1.0782338060555758,100.84521543724941,26.65407253718227,94.18169730295384,0.985598830165114
118.0,95.3,1.0755686786046614,102.42567151593227,26.647685523853244,95.76375013496896,0.9860746922747605
120.0,97.0,1.0730026664633199,104.00666300006642,26.63517242395946,97.34786989407655,0.9865337975506945
